file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Condo/Coop Status Before Vacancy	Duration of Vacancy	Housing Unit Weight (5 implied decimal places)	Monthly Asking Rent Per Room Recode	Monthly asking rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Reason Unit Not Available for Rent or Sale	Sequence Number (Household)	Status Prior to Vacancy	Status of Vacant Unit	Sub-borough Area	Type of schedule	Vacant Unit Respondent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	015855557	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	3 units	Not applicable	Held for occasional use, seasonal or recreational use	259155	Owner occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	016898920	0333	01000	Stabilized pre 1947	1 bedrooms	3 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	400354	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	024357074	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	4 units	Not applicable	Unit or building is awaiting renovation	616818	Owner occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	6 to 12 months	024357074	0250	01500	Other rental	3 bedrooms	6 rooms	4 units	Not applicable	Not applicable (available for rent or available for sale only)	951345	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	018745991	0400	01200	Stabilized pre 1947	1 bedrooms	3 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	449125	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	019941745	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	6 to 9 units	Not applicable	Held for occasional use, seasonal or recreational use	689292	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	018745991	0300	01200	Stabilized pre 1947	2 bedrooms	4 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	597891	Owner occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	018745991	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	6 to 9 units	Not applicable	Unit or building is awaiting renovation	785924	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	018745991	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	6 to 9 units	Not applicable	Unit or building is awaiting renovation	343805	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	018745991	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	6 to 9 units	Not applicable	Unit or building is awaiting renovation	478143	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	018745991	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	6 to 9 units	Not applicable	Unit or building is awaiting renovation	085302	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	021825341	0400	01200	Stabilized pre 1947	1 bedrooms	3 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	035195	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a cooperative	Yes, a cooperative	Less than 1 month	020335160	0450	01350	Other rental	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	883116	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	021870625	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	2 units without business	Not applicable	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	873367	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	016898920	0600	01200	Stabilized pre 1947	1 bedrooms	2 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	424546	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	016898920	0800	01600	Stabilized pre 1947	1 bedrooms	2 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	869074	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	023234819	0441	01325	Stabilized pre 1947	1 bedrooms	3 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	001003	Renter occupied	Available for rent	01	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	023183611	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	2 units with business	Not applicable	Held for occasional use, seasonal or recreational use	241793	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	020335160	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Unit or building is undergoing renovation	226189	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	2 to 3 months	020335160	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	20 to 49 units	Public Housing	Rented, not yet occupied	756447	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	016898920	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Held for occasional use, seasonal or recreational use	148299	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a condominium	Yes, a condominium	1 year or more	013926054	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	2 bedrooms	4 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	589451	Never previously occupied	Available for sale only	02	For sale	Superintendent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a condominium	Yes, a condominium	1 year or more	013926054	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	2 bedrooms	4 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	674816	Never previously occupied	Available for sale only	02	For sale	Superintendent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a cooperative	Yes, a cooperative	3 to 6 months	017390628	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	J-51	Held for occasional use, seasonal or recreational use	147306	Owner occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a condominium	Yes, a condominium	6 to 12 months	013926054	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	004509	Never previously occupied	Available for sale only	02	For sale	Superintendent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	015745285	0380	01900	Other rental	2 bedrooms	5 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	784113	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	020410548	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	4 bedrooms	5 rooms	2 units without business	Not applicable	Held for occasional use, seasonal or recreational use	200874	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	020033894	0600	01800	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	750602	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	015745285	0366	02200	Other rental	4 bedrooms	6 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	563195	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Deteriorating	No	No	2 to 3 months	015745285	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	4 bedrooms	6 rooms	1 unit without business	Not applicable	Rented, not yet occupied	731318	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	018745991	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	3 units	Not applicable	Unit or building is awaiting renovation	837965	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	025674367	0366	01100	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	354882	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	021217369	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	2 units without business	Not applicable	Unit or building is undergoing renovation	052399	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	021217369	0312	01250	Stabilized pre 1947	2 bedrooms	4 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	673738	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	018745991	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	6 to 9 units	Not applicable	Unit or building is undergoing renovation	294785	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	018745991	1200	01200	Stabilized pre 1947	No bedroom	1 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	039143	Renter occupied	Available for rent	02	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a condominium	Yes, a condominium	3 to 6 months	019147613	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	50 to 99 units	J-51	Held for occasional use, seasonal or recreational use	714046	Owner occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a condominium	Yes, a condominium	6 to 12 months	019147613	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	20 to 49 units	HUD regulated	Held for occasional use, seasonal or recreational use	669327	Owner occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a condominium	Yes, a condominium	6 to 12 months	019147613	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	20 to 49 units	HUD regulated	There is a legal dispute involving the unit	901122	Owner occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	2 to 3 months	020257882	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	6 rooms	2 units without business	Not applicable	Sold, not yet occupied	308485	Owner occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	022076426	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-conventional	3 bedrooms	6 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	040603	Owner occupied	Available for sale only	03	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	020257882	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	2 units with business	Not applicable	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	575459	Renter occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	022076426	0333	01000	Other rental	1 bedrooms	3 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	023351	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	013926054	0240	01200	Other rental	2 bedrooms	5 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	277875	Don't know	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Deteriorating	No	No	1 year or more	022388060	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	2 units without business	Not applicable	Unit or building is undergoing renovation	231990	Don't know	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a condominium	Yes, a cooperative	3 to 6 months	013372906	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	2 bedrooms	5 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	847903	Don't know	Available for sale only	03	For sale	Not reported
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	016355845	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	2 units without business	Not applicable	Unit or building is undergoing renovation	994853	Don't know	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	017442286	0466	01400	Stabilized pre 1947	2 bedrooms	3 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	183588	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	6 to 12 months	022076426	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	6 rooms	2 units without business	Not applicable	Unit or building is undergoing renovation	192232	Renter occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Deteriorating	No	No	2 to 3 months	019147613	0287	01150	Other rental	2 bedrooms	4 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	421945	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	019147613	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	2 units without business	Not applicable	Held for occasional use, seasonal or recreational use	053766	Renter occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	022388060	0360	01800	Other rental	4 bedrooms	5 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	082232	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Deteriorating	No	No	1 year or more	018745991	0300	01200	Stabilized pre 1947	2 bedrooms	4 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	699666	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Deteriorating	No	No	1 year or more	019147613	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	10 to 12 units	Not applicable	Held for occasional use, seasonal or recreational use	198909	Don't know	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	021632418	0400	01600	Stabilized pre 1947	1 bedrooms	4 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	269060	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	022388060	0366	01100	Stabilized pre 1947	1 bedrooms	3 rooms	13 to 19 units	Not applicable	Not applicable (available for rent or available for sale only)	996936	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	017442286	0575	01150	Stabilized pre 1947	No bedroom	2 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	124075	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	013372906	0383	01150	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	J-51	Not applicable (available for rent or available for sale only)	121078	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	6 to 12 months	021632418	0498	01495	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Not applicable (available for rent or available for sale only)	540245	Renter occupied	Available for rent	03	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a cooperative	Yes, a cooperative	Less than 1 month	018745991	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-private coop	1 bedrooms	3 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	405545	Owner occupied	Available for sale only	04	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	024513123	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	4 rooms	2 units without business	Not applicable	Unit or building is undergoing renovation	267249	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	Less than 1 month	019561217	0325	01300	Other rental	2 bedrooms	4 rooms	3 units	Not applicable	Not applicable (available for rent or available for sale only)	279119	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	017115617	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	3 units	Not applicable	Held for occasional use, seasonal or recreational use	581579	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	017115617	0500	01500	Other rental	1 bedrooms	3 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	899450	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	Yes, a condominium	Yes, a condominium	3 to 6 months	013926054	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-condo	1 bedrooms	3 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	461923	Never previously occupied	Available for sale only	04	For sale	Superintendent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	019561217	1150	01150	Stabilized post 1947	No bedroom	1 rooms	100 units or more	Not applicable	Not applicable (available for rent or available for sale only)	843035	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	019561217	0600	00600	Other rental	No bedroom	1 rooms	5 units	Not applicable	Not applicable (available for rent or available for sale only)	056614	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	018745991	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	541759	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	025512977	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	3 units	Not applicable	Held for occasional use, seasonal or recreational use	482631	Owner occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Not Reported	No	No	Less than 1 month	016879139	0800	00800	Stabilized pre 1947	No bedroom	1 rooms	50 to 99 units	Not applicable	Not applicable (available for rent or available for sale only)	650433	Renter occupied	Available for rent	04	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	025512977	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	Not applicable	Rented, not yet occupied	451415	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	018992181	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	No bedroom	1 rooms	2 units without business	Not applicable	Held for occasional use, seasonal or recreational use	127123	Don't know	Not available for rent or sale	05	Not available	Real estate agent/broker
lng11_vac11_web.dat	2011	Queens	Sound	No	No	2 to 3 months	018992181	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	1 unit without business	Not applicable	Unit or building is undergoing renovation	581951	Don't know	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	018656717	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	3 units	Not applicable	Rented, not yet occupied	694054	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	020821193	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-conventional	2 bedrooms	5 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	163829	Owner occupied	Available for sale only	05	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 to 2 months	024549434	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Vacant for sale-conventional	3 bedrooms	6 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	624838	Owner occupied	Available for sale only	05	For sale	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	020821193	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	4 rooms	2 units without business	Not applicable	Rented, not yet occupied	692474	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	6 to 12 months	024549434	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	2 units without business	Not applicable	Held for other reasons	363530	Owner occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	2 to 3 months	020821193	0800	00800	Other rental	No bedroom	1 rooms	6 to 9 units	Not applicable	Not applicable (available for rent or available for sale only)	367195	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	3 to 6 months	018745991	0160	00800	Other rental	2 bedrooms	5 rooms	2 units without business	Not applicable	Not applicable (available for rent or available for sale only)	336078	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	2 to 3 months	018656717	0366	01100	Other rental	1 bedrooms	3 rooms	5 units	Not applicable	Not applicable (available for rent or available for sale only)	406256	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	020257882	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	4 units	Not applicable	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	941648	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	020257882	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	4 units	Not applicable	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	768305	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	020257882	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	3 units	Not applicable	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	758499	Never previously occupied	Not available for rent or sale	05	Not available	Superintendent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	6 to 12 months	020257882	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	3 units	Not applicable	The owner cannot rent or sell at this time due to personal problems (e.g. age or illness	127777	Don't know	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	016540554	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	6 rooms	3 units	Not applicable	Unit or building is undergoing renovation	446429	Renter occupied	Not available for rent or sale	05	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	6 to 12 months	020230826	0400	01200	Stabilized post 1947	1 bedrooms	3 rooms	3 units	421-A	Not applicable (available for rent or available for sale only)	361006	Renter occupied	Available for rent	05	For rent (old construction)	Rental office/agent
lng11_vac11_web.dat	2011	Queens	Sound	No	No	1 year or more	021098442	0600	01200	Other rental	1 bedrooms	2 rooms	1 unit with business	Not applicable	Not applicable (available for rent or available for sale only)	971112	Owner occupied	Available for rent	05	For rent (old construction)	Rental office/agent
