file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Condo/Coop Status Before Vacancy	Duration of Vacancy	Housing Unit Weight (5 implied decimal places)	Monthly Asking Rent Per Room Recode	Monthly asking rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Reason Unit Not Available for Rent or Sale	Sequence Number (Household)	Status Prior to Vacancy	Status of Vacant Unit	Sub-borough Area	Type of schedule	Vacant Unit Respondent
lng11_vac11_web.dat	2011	Brooklyn	Sound	Yes, a condominium	Yes, a cooperative	1 year or more	020471063	1650	03300	Other rental	1 bedrooms	2 rooms	100 units or more	J-51	Not applicable (available for rent or available for sale only)	070420	Never previously occupied	Available for rent	02	For rent (new construction)	Superintendent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	000521526	0060	00302	In Rem	3 bedrooms	5 rooms	6 to 9 units	In Rem	Not applicable (available for rent or available for sale only)	255259	Renter occupied	Available for rent	03	For rent (IN REM)	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	2 to 3 months	000488243	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	6 to 9 units	In Rem	Held for occasional use, seasonal or recreational use	707415	Renter occupied	Not available for rent or sale	03	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	Don't know	1 year or more	000512940	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	In Rem	Unit or building is awaiting renovation	540136	Don't know	Not available for rent or sale	08	Not available	Real estate agent/broker
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	Don't know	1 year or more	000512940	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	In Rem	Unit or building is awaiting renovation	479187	Don't know	Not available for rent or sale	08	Not available	Real estate agent/broker
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	5 rooms	13 to 19 units	In Rem	There is a legal dispute involving the unit	496047	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	13 to 19 units	In Rem	There is a legal dispute involving the unit	566892	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Deteriorating	No	No	3 to 6 months	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	13 to 19 units	In Rem	Being held for planned demolition	644667	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Deteriorating	No	No	3 to 6 months	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	13 to 19 units	In Rem	Being held for planned demolition	835215	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Deteriorating	No	No	3 to 6 months	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	13 to 19 units	In Rem	Being held for planned demolition	290144	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	3 to 6 months	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	13 to 19 units	In Rem	Being held for planned demolition	304011	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	2 to 3 months	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	13 to 19 units	In Rem	Being held for planned demolition	371469	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
