file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Monthly Contract Rent	Most Recent Place Householder Lived For 6 Months or More	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Sequence Number (Household)	Sub-borough Area	Tenure (1)	Tenure (2)	Year Householder Moved into Unit Recode
uf_14_occ_web_b.txt	2014	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Other unit in same building	Owner occupied private cooperative	4 bedrooms	6 rooms	13 to 19 units	  	040452	01	Owned or being bought	Not applicable (owner occupied)	1970-1979
uf_14_occ_web_b.txt	2014	Bronx	Sound	Coop	Not applicable (occupied rent free or owner occupied)	Bronx	Owner occupied private cooperative	No bedroom	1 rooms	20 to 49 units	  	569835	01	Owned or being bought	Not applicable (owner occupied)	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01187	Bronx	Other rental	1 bedrooms	2 rooms	100 units or more	  	255606	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01573	Manhattan	Stabilized post 1947	2 bedrooms	3 rooms	50 to 99 units	  	493092	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01573	Bronx	Stabilized post 1947	2 bedrooms	3 rooms	50 to 99 units	  	247483	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00549	Bronx	Public housing	1 bedrooms	3 rooms	20 to 49 units	  	193806	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00652	Bronx	Public housing	3 bedrooms	5 rooms	20 to 49 units	  	676773	01	N/A (renter)	Pay cash rent	1990-1994
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Bronx	Owner occupied conventional	3 bedrooms	5 rooms	3 units	  	820799	01	Owned or being bought	Not applicable (owner occupied)	1980-1984
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01200	NY, NJ, Connecticut	Other rental	1 bedrooms	4 rooms	3 units	  	095817	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01200	NY, NJ, Connecticut	Other rental	2 bedrooms	5 rooms	3 units	  	881968	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00470	Bronx	Stabilized pre 1947	4 bedrooms	6 rooms	20 to 49 units	  	654017	01	N/A (renter)	Pay cash rent	1995-1999
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01500	Bronx	Stabilized pre 1947	4 bedrooms	6 rooms	13 to 19 units	  	202236	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01070	Bronx	Stabilized pre 1947	1 bedrooms	2 rooms	50 to 99 units	  	589273	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01300	Other unit in same building	Stabilized pre 1947	1 bedrooms	2 rooms	20 to 49 units	  	595624	01	N/A (renter)	Pay cash rent	2012 or later
